Product Name,Brand,Price,Picture,Description,THC content,CBD content,Flower type,Category
CALI HEIGHTS: PINK RUNTZ 1G DISPOSABLE,CALI HEIGHTS,$38   1.0 grams,https://tymber-blaze-products.imgix.net/10b24c4f-3c9b-4751-8fe8-b70cb1dcfb63.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Pink Runtz is a hybrid marijuana strain and a phenotype of the original Runtz, which crosses Zkittlez with Gelato. The hype around this strain has been firmly established - and for good reason. Pink Runtz features an aroma that is sweet and fruity like candy. This strain produces uplifting effects that are known to be long-lasting. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 91.8%,,HYBRID,"Vape Pens, Exclusive"
CALI HEIGHTS: FATSO 1G DISPOSABLE,CALI HEIGHTS,$38   1.0 grams,https://tymber-blaze-products.imgix.net/81b40999-96eb-4947-aca5-6f6a580d93d6-800x800-35b9d27c-e6da-497d-acef-14458b6ee8c1.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Not for the faint of lungs, Fatso is a newer strain that caters to gas, Kush, and Cookies alike. This funky, fuel-tasting indica is high in THC and comes covered in trichomes, making it great for hash. Make sure you’re close to the couch for this one, you won’t want to get up. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 91.5%,,INDICA,"Vape Pens, Exclusive"
CALI HEIGHTS: THE CALI WEDDING CAKE 1G DISPOSABLE,CALI HEIGHTS,$50   1.0 grams,https://tymber-blaze-products.imgix.net/02f4858e-beb1-4c16-9607-07aa1c28b27e-800x800-d148e6e4-6ee1-4234-9e20-7040193158cc.png?auto=format&ixlib=react-9.8.1&h=300,"Wedding Cake, also known as ""Triangle Mints #23 "" is a potent indica-hybrid marijuana strain made by crossing Triangle Kush with Animal Mints. Wedding Cake provides relaxing and euphoric effects that calm the body and mind. This strain features a rich and tangy flavor profile with undertones of earthy pepper. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 95.2%,CBD: 3.1%,INDICA,"Vape Pens, Exclusive"
CALI HEIGHTS: THE CALI WATERMELON DREAMZ 1G DISPOSABLE,CALI HEIGHTS,$50   1.0 grams,https://tymber-blaze-products.imgix.net/36cd1284-3c9e-4fb3-bf6c-63179750b86a-800x800-a90b02f8-743c-4dab-ae99-0fde18e8fa00.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Watermelon Dreamz (Watermelon Haze X Blue Dream) will kick your creativity into high gear. Clear your head with this potent strain so you can focus on all your best ideas. The taste is a fantastic blend of watermelon and berries, with a hint of fuel that keeps things interesting. Float off to deep relaxation with every inhale of Watermelon Dreamz. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 89.2%,CBD: 0.1%,INDICA,"Vape Pens, Exclusive"
CALI HEIGHTS: THE CALI LUSY'S GIFT 1G DISPOSABLE,CALI HEIGHTS,$50   1.0 grams,https://tymber-blaze-products.imgix.net/IMG_7137-c6818233-71a6-465d-8793-9f5225c04312.jpg?auto=format&ixlib=react-9.8.1&h=300,"Lusy is a robust indica-dominant CBD-rich strain created from crossing Luca Brasi and LA Confidential. With this potent ratio, you can expect to feel an intense sense of wellbeing that isn’t overwhelmingly sedative. Also known for its mental stillness, Lucy pulls the handbrake on “monkey mind” and anxious thoughts. Utilize this strain later in the day to maximize its effects or simply as a supplementary anti-inflammatory that can assist with headaches and muscle pain.---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 45.3%,CBD: 45.8%,,"Vape Pens, Exclusive"
CALI HEIGHTS: THE CALI GREEN CRACK 1G DISPOSABLE,CALI HEIGHTS,$50   1.0 grams,https://tymber-blaze-products.imgix.net/d7416ecf-43af-492c-905d-5d499b86b9f0-800x800-a909a129-5a10-43a0-b3e7-d02b36e9e4e3.png?auto=format&ixlib=react-9.8.1&h=300,"Green Crack, also known as ""Green Crush"" and ""Mango Crack "" is a potent sativa marijuana strain made by crossing Skunk #1 with an unknown indica. This strain is beloved by many consumers for its energizing effects. But don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 94.8%,CBD: 3.3%,SATIVA,"Vape Pens, Exclusive"
CALI HEIGHTS: THE CALI CHUNKY MONKEY 1G DISPOSABLE,CALI HEIGHTS,$50   1.0 grams,https://tymber-blaze-products.imgix.net/ca1df7c1-94de-4160-83f7-e2727698b3ee-800x800-2c2717ea-0b64-4519-afad-cb8996aef3ca.png?auto=format&ixlib=react-9.8.1&h=300,"Chunky Monkey is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel tingly, aroused, and hungry.---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 95.6%,CBD: 0.1%,HYBRID,"Vape Pens, Exclusive"
CALI HEIGHTS: SUPER LEMON HAZE 1G DISPOSABLE,CALI HEIGHTS,$38   1.0 grams,https://tymber-blaze-products.imgix.net/3ef8fbad-94f7-4c9f-ab55-c34933daf89e.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Pink Runtz - tart and sweet like lemonheads candy - not quite as sharp as one might expect. The effects are uniquely energetic and lively, may not be the best strain for those of us that are naturally wound-up tight. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 92.4%,,SATIVA,"Vape Pens, Exclusive"
LIIIL STIIIZY: BLUE DREAM .5G DISPOSABLE,STIIIZY,$35   0.5 grams,https://tymber-blaze-products.imgix.net/8688ae7d-d334-4bff-9538-0cb0eeca85e7.jpg?auto=format&ixlib=react-9.8.1&h=300,"Blue Dream is a slightly sativa dominant hybrid (60% sativa/40% indica) strain that is a potent cross between the hugely popular Blueberry X Haze strains. This infamous bud boasts a moderately high THC level that ranges from 17-24% on average and a myriad of both indica and sativa effects. ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 91.35%,,SATIVA,"Vape Pens, Just In!"
GELATO: MOWIE WOWIE 1G LIVE RESIN DISPOSABLE,GELATO,$50   1.0 grams,https://tymber-blaze-products.imgix.net/52717a23-2194-492b-bdf0-7725c887b2a4.jpeg?auto=format&ixlib=react-9.8.1&h=300,"Maui Wowie, also known as ""Maui Waui"" and ""Mowie Wowie "" is a classic sativa marijuana strain made from a cross of Hawaiian and another strain that remains unknown. Since its beginnings in the island’s volcanic soil, Maui Wowie has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria. Lightweight effects allow your mind to drift away to creative escapes, while Maui Wowie’s motivating, active effects may be all you need to get outside and enjoy the sun. This tall, lanky strain is best suited for cultivation in warm, tropical climates that mirror its homeland, but a bright environment and nutrient-rich soil are typically adequate for indoor growing., ---------------Welcome to Wheelhouse marijuana dispensary located in Ventura, California. Wheelhouse carries a variety of well-known brands such as Stiiizy, Raw Garden, and Papa & Barkley. In addition, we've cultivated exclusive relationships with smaller premium brands. This page contains just one of our hundreds of weed products! We offer weed delivery, pick-up, and express pick-up through our locker system if you pay online! Come see what Wheelhouse cannabis dispensary is all about!",THC: 92.0%,,SATIVA,"Vape Pens, New, Just In!"
